Name;Type
Audit;Audit & Assurance
Review;Audit & Assurance
KPPK;Audit & Assurance
AUP;Audit & Assurance
IFRS;Audit & Assurance
Accounting & Bookkeeping Services;Business Services & Outsourcing (BSO)
Accounting & Financial Reporting Advisory;Business Services & Outsourcing (BSO)
Compliance Services;Business Services & Outsourcing (BSO)
Payroll Services;Business Services & Outsourcing (BSO)
Treasury Services;Business Services & Outsourcing (BSO)
Corporate Secretarial (including company incorporation & liquidation);Business Services & Outsourcing (BSO)
Offshoring Services;Business Services & Outsourcing (BSO)
Back Office Services;Business Services & Outsourcing (BSO)
Internal Audit;Risk Advisory Services (RAS)
Forensic Services;Risk Advisory Services (RAS)
Financial Accounting Services;Risk Advisory Services (RAS)
Advisory;Risk Advisory Services (RAS)
IT Internal Audit;IT Advisory
